Occurrence,Filière,Produit,Indicateur,  Valeur 
2021/2022,Maraîchage,Pastèque,Production-T (Tonnes)," 48,000 "
2021/2022,Rosacées,Figuier,Superficie (Ha), 406 
2021/2022,Maraîchage,Navet,Production-T (Tonnes)," 2,000 "
2021/2022,Rosacées,Pommier,Production-T (Tonnes)," 2,352 "
2021/2022,Agrumes,Petit fruit_Clémentine,Production-T (Tonnes)," 1,050 "
2021/2022,Maraîchage,Melon,Production-T (Tonnes), 700 
2021/2022,Rosacées,Figuier,Superficie (Ha), 45 
2021/2022,Maraîchage,Pomme de terre,Superficie (Ha), 500 
2021/2022,Maraîchage,Navet,Production-T (Tonnes), 840 
2021/2022,Amandiers,Amandier,Production-T (Tonnes), 89 
2021/2022,Maraîchage,Oignon,Production-T (Tonnes)," 216,240 "
2021/2022,Légumineuses,Lentille,Production-T (Tonnes), 375 
2021/2022,Céréales,Mais,Superficie (Ha), 10 
2021/2022,Rosacées,Figuier,Superficie (Ha), 500 
2021/2022,Fourragères,Mais fourrager,Superficie (Ha), 39 
2021/2022,Maraîchage,Pomme de terre,Superficie (Ha), 21 
2021/2022,Vignes,Raisin de cuve,Superficie (Ha), 370 
2021/2022,Légumineuses,Fève,Production-T (Tonnes)," 2,019 "
2021/2022,Rosacées,Poirier,Superficie (Ha), 14 
2021/2022,Agrumes,Petit fruit_Nules,Production-T (Tonnes)," 1,560 "
2021/2022,Amandiers,Amandier,Production-T (Tonnes)," 3,920 "
2021/2022,Agrumes,Orange_Navel lane late,Superficie (Ha), 305 
2021/2022,Fourragères,Triticale,Production-T (Tonnes)," 3,900 "
2021/2022,Maraîchage,Pastèque,Production-T (Tonnes)," 25,000 "
2021/2022,Fourragères,Luzerne,Superficie (Ha), 150 
2021/2022,Céréales,Orge,Superficie (Ha), 20 
2021/2022,Légumineuses,Lentille,Superficie (Ha)," 2,000 "
2021/2022,Maraîchage,Petit Pois vert,Superficie (Ha), 20 
2021/2022,Rosacées,Cognassier,Production-T (Tonnes), 336 
2021/2022,Maraîchage,Choux fleur,Superficie (Ha), 10 
2021/2022,Maraîchage,Oignon vert,Superficie (Ha), 17 
2021/2022,Rosacées,Figuier,Production-T (Tonnes), 135 
2021/2022,Agrumes,Petit fruit_Clémentine,Production-T (Tonnes)," 255,200 "
2021/2022,Rosacées,Pêcher-nectarine,Production-T (Tonnes)," 6,840 "
2021/2022,Maraîchage,Tomate,Superficie (Ha)," 6,275 "
2021/2022,Maraîchage,Haricot vert,Production-T (Tonnes)," 4,800 "
2021/2022,Sucrières,Canne à sucre,Superficie (Ha)," 1,584 "
2021/2022,Agrumes,Orange_Navel,Production-T (Tonnes), 634 
2021/2022,Maraîchage,Melon,Production-T (Tonnes)," 63,200 "
2021/2022,Maraîchage,Haricot vert,Superficie (Ha), 3 
2021/2022,Maraîchage,Concombre,Production-T (Tonnes), 128 
2021/2022,Légumineuses,Autres légumineuses,Production-T (Tonnes), 10 
2021/2022,Céréales,Blé dur,Superficie (Ha)," 16,770 "
2021/2022,Rosacées,Figuier,Production-T (Tonnes), 500 
2021/2022,Rosacées,Poirier,Production-T (Tonnes), 26 
2021/2022,Maraîchage,Tomate,Production-T (Tonnes)," 11,200 "
2021/2022,Fourragères,Luzerne,Production-T (Tonnes)," 18,000 "
2021/2022,Céréales,Blé tendre,Superficie (Ha), 709 
2021/2022,Maraîchage,Pomme de terre,Superficie (Ha), 10 
2021/2022,Légumineuses,Fève,Superficie (Ha), 100 
2021/2022,Céréales,Blé tendre,Production-T (Tonnes)," 5,296 "
2021/2022,Maraîchage,Ail,Production-T (Tonnes), 120 
2021/2022,Oliviers,Olivier,Production-T (Tonnes)," 2,798 "
2021/2022,Légumineuses,Pois chiche,Production-T (Tonnes), 380 
2021/2022,Fourragères,Bersim,Production-T (Tonnes)," 7,200 "
2021/2022,Agrumes,Petit fruit_Clémentine,Superficie (Ha), 380 
2021/2022,Maraîchage,Carotte,Superficie (Ha), 165 
2021/2022,Céréales,Orge,Superficie (Ha)," 36,000 "
2021/2022,Fourragères,Orge fourrager,Production-T (Tonnes)," 12,000 "
2021/2022,Maraîchage,Tomate,Superficie (Ha), 35 
2021/2022,Oliviers,Olivier,Superficie (Ha)," 2,238 "
2021/2022,Céréales,Avoine,Superficie (Ha)," 4,900 "
2021/2022,Amandiers,Amandier,Production-T (Tonnes), 234 
2021/2022,Maraîchage,Betterave potager,Superficie (Ha)," 1,200 "
2021/2022,Amandiers,Amandier,Superficie (Ha)," 5,280 "
2021/2022,Amandiers,Amandier,Production-T (Tonnes)," 4,650 "
2021/2022,Agrumes,Petit fruit_Nules,Production-T (Tonnes), 125 
2021/2022,Légumineuses,Fève,Production-T (Tonnes)," 2,240 "
2021/2022,Oliviers,Olivier,Superficie (Ha)," 3,232 "
2021/2022,Maraîchage,Autres cultures maraichères,Superficie (Ha), 40 
2021/2022,Maraîchage,Pastèque,Superficie (Ha), 161 
2021/2022,Maraîchage,Melon,Superficie (Ha), 20 
2021/2022,Fourragères,Avoine vert,Superficie (Ha), 900 
2021/2022,Oliviers,Olivier,Production-T (Tonnes), 45 
2021/2022,Maraîchage,Autres cultures maraichères,Superficie (Ha), 14 
2021/2022,Maraîchage,Petit Pois vert,Production-T (Tonnes)," 7,020 "
2021/2022,Rosacées,Poirier,Superficie (Ha), 60 
2021/2022,Rosacées,Abricotier,Superficie (Ha), 2 
2021/2022,Rosacées,Bananier,Production-T (Tonnes)," 19,200 "
2021/2022,Maraîchage,Ail,Production-T (Tonnes)," 8,300 "
2021/2022,Céréales,Blé dur,Production-T (Tonnes), 23 
2021/2022,Rosacées,Cerisier,Production-T (Tonnes), 68 
2021/2022,Maraîchage,Pastèque,Superficie (Ha), 45 
2021/2022,Fourragères,Luzerne,Superficie (Ha), 50 
2021/2022,Céréales,Blé tendre,Production-T (Tonnes), 30 
2021/2022,Maraîchage,Oignon vert,Production-T (Tonnes), 200 
2021/2022,Maraîchage,Courge courgette,Production-T (Tonnes)," 3,255 "
2021/2022,Fourragères,Luzerne,Superficie (Ha), 250 
2021/2022,Céréales,Blé tendre,Superficie (Ha), 31 
2021/2022,Rosacées,Pommier,Production-T (Tonnes)," 38,433 "
2021/2022,Fourragères,Mais fourrager,Superficie (Ha), 30 
2021/2022,Maraîchage,Pomme de terre,Superficie (Ha)," 6,400 "
2021/2022,Rosacées,Figuier,Production-T (Tonnes), 180 
2021/2022,Maraîchage,Oignon,Superficie (Ha), 690 
2021/2022,Agrumes,Petit fruit_Autres,Superficie (Ha)," 1,281 "
2021/2022,Oliviers,Olivier,Production-T (Tonnes)," 18,000 "
2021/2022,Maraîchage,Courge courgette,Superficie (Ha), 395 
2021/2022,Maraîchage,Fève verte,Production-T (Tonnes)," 4,000 "
2021/2022,Maraîchage,Pomme de terre,Superficie (Ha), 10 
2021/2022,Maraîchage,Niora,Production-T (Tonnes), 391 
2021/2022,Céréales,Blé dur,Superficie (Ha)," 6,700 "
2021/2022,Céréales,Blé tendre,Superficie (Ha), 130 
2021/2022,Maraîchage,Navet,Production-T (Tonnes)," 5,470 "
2021/2022,Rosacées,Figuier,Superficie (Ha), 33 
2021/2022,Agrumes,Petit fruit_Nador cott,Superficie (Ha), 686 
2021/2022,Rosacées,Avocatier,Superficie (Ha), 672 
2021/2022,Maraîchage,Pomme de terre,Production-T (Tonnes), 900 
2021/2022,Rosacées,Néflier,Production-T (Tonnes), 75 
2021/2022,Maraîchage,Fève verte,Superficie (Ha), 200 
2021/2022,Maraîchage,Pomme de terre,Production-T (Tonnes)," 1,650 "
2021/2022,Maraîchage,Navet,Production-T (Tonnes), 240 
2021/2022,Maraîchage,Pastèque,Superficie (Ha), 2 
2021/2022,Rosacées,Pêcher-nectarine,Superficie (Ha), 916 
2021/2022,Fourragères,Bersim,Production-T (Tonnes)," 3,444 "
2021/2022,Légumineuses,Fève,Superficie (Ha)," 8,700 "
2021/2022,Oliviers,Olivier,Production-T (Tonnes), 568 
2021/2022,Maraîchage,Concombre,Superficie (Ha), 15 
2021/2022,Fourragères,Orge fourrager,Superficie (Ha)," 11,000 "
2021/2022,Maraîchage,Pomme de terre,Production-T (Tonnes)," 68,160 "
2021/2022,Fourragères,Avoine vert,Production-T (Tonnes)," 5,185 "
2021/2022,Maraîchage,Choux pomme,Superficie (Ha), 55 
2021/2022,Agrumes,Petit fruit_Clémentine,Production-T (Tonnes)," 1,800 "
2021/2022,Maraîchage,Pastèque,Production-T (Tonnes)," 27,490 "
2021/2022,Légumineuses,Petit pois,Superficie (Ha), 40 
2021/2022,Agrumes,Orange_Navel,Superficie (Ha), 29 
2021/2022,Maraîchage,Carotte,Production-T (Tonnes), 60 
2021/2022,Rosacées,Poirier,Production-T (Tonnes)," 1,160 "
2021/2022,Maraîchage,Fève verte,Production-T (Tonnes)," 1,680 "
2021/2022,Maraîchage,Courge courgette,Production-T (Tonnes)," 2,000 "
2021/2022,Fourragères,Bersim,Superficie (Ha), 30 
2021/2022,Rosacées,Cerisier,Superficie (Ha), 30 
2021/2022,Céréales,Blé tendre,Superficie (Ha)," 3,068 "
2021/2022,Rosacées,Abricotier,Superficie (Ha), 22 
2021/2022,Céréales,Blé tendre,Production-T (Tonnes), 505 
2021/2022,Fourragères,Orge fourrager,Production-T (Tonnes)," 19,300 "
2021/2022,Maraîchage,Ail,Superficie (Ha), 20 
2021/2022,Maraîchage,Haricot vert,Superficie (Ha), 12 
2021/2022,Vignes,Raisin de table,Production-T (Tonnes), 123 
2021/2022,Céréales,Blé dur,Superficie (Ha)," 1,596 "
2021/2022,Fourragères,Bersim,Production-T (Tonnes)," 2,960 "
2021/2022,Légumineuses,Fève,Production-T (Tonnes), 324 
2021/2022,Fourragères,Bersim,Superficie (Ha)," 16,150 "
2021/2022,Fourragères,Mélange fourrager,Production-T (Tonnes)," 1,120 "
2021/2022,Rosacées,Pommier,Production-T (Tonnes), 225 
2021/2022,Fourragères,Orge fourrager,Superficie (Ha)," 2,400 "
2021/2022,Fourragères,Vesce avoine,Production-T (Tonnes)," 1,135 "
2021/2022,Fourragères,Luzerne,Production-T (Tonnes)," 1,260 "
2021/2022,Rosacées,Grenadier,Production-T (Tonnes), 664 
2021/2022,Vignes,Raisin de table,Superficie (Ha), 160 
2021/2022,Maraîchage,Pastèque,Production-T (Tonnes), 713 
2021/2022,Agrumes,Petit fruit_Nules,Production-T (Tonnes)," 2,335 "
2021/2022,Amandiers,Amandier,Superficie (Ha), 207 
2021/2022,Maraîchage,Courge courgette,Production-T (Tonnes), 160 
2021/2022,Maraîchage,Carotte,Production-T (Tonnes)," 11,410 "
2021/2022,Fourragères,Bersim,Superficie (Ha)," 1,920 "
2021/2022,Maraîchage,Melon,Production-T (Tonnes)," 10,196 "
2021/2022,Maraîchage,Choux pomme,Superficie (Ha), 80 
2021/2022,Agrumes,Citron,Production-T (Tonnes), 850 
2021/2022,Rosacées,Grenadier,Production-T (Tonnes), 364 
2021/2022,Maraîchage,Melon,Superficie (Ha), 60 
2021/2022,Oliviers,Olivier,Superficie (Ha)," 3,028 "
2021/2022,Rosacées,Pommier,Production-T (Tonnes)," 2,124 "
2021/2022,Maraîchage,Artichaut,Production-T (Tonnes), 66 
2021/2022,Maraîchage,Petit Pois vert,Production-T (Tonnes), 585 
2021/2022,Maraîchage,Carotte,Production-T (Tonnes)," 13,033 "
2021/2022,Fourragères,Mais fourrager,Production-T (Tonnes), 975 
2021/2022,Rosacées,Caroubier,Superficie (Ha), 4 
2021/2022,Rosacées,Autres plantations fruitières,Superficie (Ha), 10 
2021/2022,Légumineuses,Petit pois,Production-T (Tonnes)," 1,782 "
2021/2022,Agrumes,Petit fruit_Nova,Production-T (Tonnes), 742 
2021/2022,Vignes,Raisin de cuve,Production-T (Tonnes)," 20,300 "
2021/2022,Rosacées,Prunier,Superficie (Ha)," 2,045 "
2021/2022,Rosacées,Pommier,Production-T (Tonnes)," 5,260 "
2021/2022,Agrumes,Petit fruit_Nules,Superficie (Ha), 48 
2021/2022,Fourragères,Triticale,Superficie (Ha)," 2,800 "
2021/2022,Oléagineuses,Tournesol,Production-T (Tonnes), 60 
2021/2022,Céréales,Blé tendre,Production-T (Tonnes)," 12,295 "
2021/2022,Rosacées,Abricotier,Superficie (Ha), 118 
2021/2022,Rosacées,Figuier,Production-T (Tonnes), 195 
2021/2022,Maraîchage,Betterave potager,Superficie (Ha), 10 
2021/2022,Maraîchage,Menthe,Superficie (Ha), 20 
2021/2022,Fourragères,Luzerne,Superficie (Ha), 700 
2021/2022,Légumineuses,Autres légumineuses,Superficie (Ha), 440 
2021/2022,Maraîchage,Pomme de terre,Production-T (Tonnes), 444 
2021/2022,Céréales,Blé dur,Superficie (Ha), 916 
2021/2022,Maraîchage,Choux fleur,Superficie (Ha), 330 
2021/2022,Rosacées,Figuier,Superficie (Ha), 195 
2021/2022,Maraîchage,Aubergine,Superficie (Ha), 38 
2021/2022,Maraîchage,Haricot vert,Production-T (Tonnes), 210 
2021/2022,Fourragères,Mais fourrager,Superficie (Ha)," 4,650 "
2021/2022,Maraîchage,Pastèque,Production-T (Tonnes)," 30,000 "
2021/2022,Maraîchage,Navet,Production-T (Tonnes), 360 
2021/2022,Maraîchage,Melon,Superficie (Ha), 700 
2021/2022,Oliviers,Olivier,Production-T (Tonnes)," 3,216 "
2021/2022,Maraîchage,Menthe,Production-T (Tonnes), 10 
2021/2022,Rosacées,Figuier,Production-T (Tonnes), 58 
2021/2022,Maraîchage,Pomme de terre,Production-T (Tonnes)," 5,600 "
2021/2022,Maraîchage,Piment poivron,Production-T (Tonnes)," 1,450 "
2021/2022,Agrumes,Petit fruit_Nador cott,Superficie (Ha), 440 
2021/2022,Fourragères,Bersim,Superficie (Ha), 30 
2021/2022,Maraîchage,Pastèque,Superficie (Ha), 200 
2021/2022,Maraîchage,Courge courgette,Production-T (Tonnes), 750 
2021/2022,Rosacées,Bananier,Superficie (Ha), 15 
2021/2022,Maraîchage,Concombre,Production-T (Tonnes)," 4,800 "
2021/2022,Céréales,Blé tendre,Superficie (Ha)," 21,100 "
2021/2022,Rosacées,Prunier,Production-T (Tonnes)," 2,890 "
2021/2022,Rosacées,Caroubier,Superficie (Ha)," 9,500 "
2021/2022,Fourragères,Bersim,Production-T (Tonnes)," 6,300 "
2021/2022,Vignes,Raisin de table,Superficie (Ha)," 1,890 "
2021/2022,Maraîchage,Choux pomme,Superficie (Ha), 25 
2021/2022,Rosacées,Pommier,Superficie (Ha)," 1,110 "
2021/2022,Légumineuses,Fève,Production-T (Tonnes), 336 
2021/2022,Rosacées,Prunier,Production-T (Tonnes), 2 
2021/2022,Céréales,Blé dur,Superficie (Ha)," 1,715 "
2021/2022,Céréales,Blé tendre,Production-T (Tonnes)," 14,597 "
2021/2022,Rosacées,Poirier,Production-T (Tonnes), 11 
2021/2022,Agrumes,Orange_Navel,Production-T (Tonnes), 144 
2021/2022,Maraîchage,Tomate,Production-T (Tonnes)," 1,545 "
2021/2022,Agrumes,Orange_Maroc late,Superficie (Ha), 15 
2021/2022,Agrumes,Petit fruit_Nules,Superficie (Ha), 650 
2021/2022,Maraîchage,Niora,Superficie (Ha)," 1,097 "
2021/2022,Vignes,Raisin de table,Production-T (Tonnes)," 38,845 "
2021/2022,Rosacées,Prunier,Production-T (Tonnes), 75 
2021/2022,Céréales,Blé tendre,Superficie (Ha), 296 
2021/2022,Agrumes,Orange_Salustiana,Superficie (Ha), 56 
2021/2022,Maraîchage,Oignon,Production-T (Tonnes)," 3,508 "
2021/2022,Agrumes,Orange_Washignton sanguine,Production-T (Tonnes)," 42,052 "
2021/2022,Fourragères,Avoine vert,Superficie (Ha), 800 
2021/2022,Oliviers,Olivier,Production-T (Tonnes), 227 
2021/2022,Oliviers,Olivier,Superficie (Ha)," 1,551 "
2021/2022,Céréales,Mais,Production-T (Tonnes)," 2,500 "
2021/2022,Maraîchage,Ail,Superficie (Ha), 5 
2021/2022,Rosacées,Bananier,Production-T (Tonnes), 150 
2021/2022,Maraîchage,Petit Pois vert,Superficie (Ha), 404 
2021/2022,Rosacées,Caroubier,Superficie (Ha), 79 
2021/2022,Céréales,Blé dur,Production-T (Tonnes), 31 
2021/2022,Maraîchage,Pomme de terre,Production-T (Tonnes)," 63,000 "
2021/2022,Maraîchage,Pastèque,Production-T (Tonnes)," 10,400 "
2021/2022,Fourragères,Lupin,Production-T (Tonnes), 420 
2021/2022,Fourragères,Féverole,Production-T (Tonnes)," 5,000 "
2021/2022,Oliviers,Olivier,Production-T (Tonnes)," 25,787 "
2021/2022,Maraîchage,Autres cultures maraichères,Superficie (Ha), 100 
2021/2022,Agrumes,Orange_Autres,Superficie (Ha), 12 
2021/2022,Agrumes,Orange_Washignton sanguine,Production-T (Tonnes)," 7,148 "
2021/2022,Vignes,Raisin de table,Superficie (Ha), 636 
2021/2022,Céréales,Orge,Production-T (Tonnes), 486 
2021/2022,Fourragères,Luzerne,Superficie (Ha)," 3,330 "
2021/2022,Rosacées,Cognassier,Production-T (Tonnes)," 2,300 "
2021/2022,Maraîchage,Tomate,Superficie (Ha), 147 
2021/2022,Céréales,Orge,Superficie (Ha)," 34,100 "
2021/2022,Maraîchage,Courge courgette,Production-T (Tonnes), 336 
2021/2022,Oléagineuses,Tournesol,Superficie (Ha)," 4,634 "
2021/2022,Vignes,Raisin de table,Superficie (Ha), 65 
2021/2022,Rosacées,Figuier,Superficie (Ha)," 2,360 "
2021/2022,Céréales,Orge,Superficie (Ha)," 18,900 "
2021/2022,Fourragères,Orge fourrager,Superficie (Ha), 620 
2021/2022,Palmiers-Dattiers,Palmier dattier,Superficie (Ha), 740 
2021/2022,Céréales,Blé dur,Production-T (Tonnes)," 1,333 "
2021/2022,Vignes,Raisin de cuve,Production-T (Tonnes)," 9,000 "
2021/2022,Maraîchage,Choux fleur,Production-T (Tonnes), 400 
2021/2022,Maraîchage,Courge courgette,Superficie (Ha), 130 
2021/2022,Rosacées,Figuier,Production-T (Tonnes), 46 
2021/2022,Rosacées,Pêcher-nectarine,Production-T (Tonnes)," 5,004 "
2021/2022,Maraîchage,Framboise,Superficie (Ha)," 1,400 "
2021/2022,Sucrières,Betterave à sucre,Superficie (Ha)," 1,832 "
2021/2022,Rosacées,Pommier,Superficie (Ha), 770 
2021/2022,Maraîchage,Petit Pois vert,Production-T (Tonnes), 840 
2021/2022,Maraîchage,Fève verte,Production-T (Tonnes)," 3,780 "
2021/2022,Maraîchage,Piment poivron,Superficie (Ha), 70 
2021/2022,Fourragères,Féverole,Production-T (Tonnes), 7 
2021/2022,Fourragères,Avoine vert,Production-T (Tonnes)," 7,500 "
2021/2022,Maraîchage,Tomate,Superficie (Ha), 320 
2021/2022,Agrumes,Petit fruit_Clémentine,Superficie (Ha)," 1,042 "
2021/2022,Maraîchage,Choux pomme,Production-T (Tonnes)," 4,440 "
2021/2022,Maraîchage,Piment poivron,Production-T (Tonnes), 200 
2021/2022,Oliviers,Olivier,Superficie (Ha)," 20,128 "
2021/2022,Maraîchage,Piment poivron,Production-T (Tonnes), 300 
2021/2022,Légumineuses,Lentille,Production-T (Tonnes)," 1,131 "
2021/2022,Rosacées,Figuier,Superficie (Ha), 56 
2021/2022,Maraîchage,Carotte,Superficie (Ha), 25 
2021/2022,Maraîchage,Pomme de terre,Production-T (Tonnes)," 45,000 "
2021/2022,Céréales,Mais,Superficie (Ha), 20 
2021/2022,Oliviers,Olivier,Superficie (Ha), 290 
2021/2022,Maraîchage,Concombre,Production-T (Tonnes), 750 
2021/2022,Maraîchage,Haricot vert,Superficie (Ha), 884 
2021/2022,Rosacées,Prunier,Superficie (Ha), 276 
2021/2022,Amandiers,Amandier,Superficie (Ha), 700 
2021/2022,Maraîchage,Piment poivron,Production-T (Tonnes)," 6,240 "
2021/2022,Rosacées,Noyer,Production-T (Tonnes), 345 
2021/2022,Oléagineuses,Arachide,Superficie (Ha)," 4,200 "
2021/2022,Maraîchage,Pomme de terre,Superficie (Ha)," 2,050 "
2021/2022,Céréales,Blé tendre,Superficie (Ha), 184 
2021/2022,Rosacées,Avocatier,Superficie (Ha), 300 
2021/2022,Rosacées,Figuier,Superficie (Ha), 150 
2021/2022,Maraîchage,Carotte,Superficie (Ha), 80 
2021/2022,Maraîchage,Carotte,Production-T (Tonnes), 300 
2021/2022,Céréales,Orge,Production-T (Tonnes), 263 
2021/2022,Maraîchage,Courge courgette,Superficie (Ha), 24 
2021/2022,Fourragères,Bersim,Production-T (Tonnes)," 1,000 "
2021/2022,Maraîchage,Petit Pois vert,Production-T (Tonnes)," 2,000 "
2021/2022,Maraîchage,Piment poivron,Superficie (Ha), 130 
2021/2022,Maraîchage,Concombre,Superficie (Ha), 3 
2021/2022,Fourragères,Luzerne,Superficie (Ha), 100 
2021/2022,Céréales,Orge,Superficie (Ha)," 16,000 "
2021/2022,Agrumes,Petit fruit_Nules,Production-T (Tonnes)," 3,642 "
2021/2022,Amandiers,Amandier,Superficie (Ha), 200 
2021/2022,Agrumes,Orange_Navel lane late,Production-T (Tonnes)," 8,727 "
2021/2022,Maraîchage,Oignon,Production-T (Tonnes), 480 
2021/2022,Agrumes,Petit fruit_Ortanique,Production-T (Tonnes), 471 
2021/2022,Vignes,Raisin de table,Production-T (Tonnes)," 5,400 "
2021/2022,Maraîchage,Oignon vert,Production-T (Tonnes)," 1,250 "
2021/2022,Maraîchage,Tomate,Superficie (Ha), 40 
2021/2022,Maraîchage,Pastèque,Superficie (Ha), 895 
2021/2022,Rosacées,Figuier,Production-T (Tonnes)," 31,325 "
2021/2022,Vignes,Raisin de table,Production-T (Tonnes), 47 
2021/2022,Maraîchage,Navet,Production-T (Tonnes), 450 
2021/2022,Rosacées,Figuier,Superficie (Ha), 82 
2021/2022,Agrumes,Orange_Maroc late,Superficie (Ha), 33 
2021/2022,Agrumes,Petit fruit_Nour,Superficie (Ha), 54 
2021/2022,Rosacées,Autres plantations fruitières,Superficie (Ha), 50 
2021/2022,Fourragères,Pois fourrager,Superficie (Ha), 540 
2021/2022,Fourragères,Luzerne,Superficie (Ha), 350 
2021/2022,Vignes,Raisin de table,Production-T (Tonnes)," 2,565 "
2021/2022,Industrielles,Câprier,Superficie (Ha)," 16,530 "
2021/2022,Oliviers,Olivier,Production-T (Tonnes)," 2,030 "
2021/2022,Agrumes,Petit fruit_Clémentine,Superficie (Ha), 498 
2021/2022,Maraîchage,Piment poivron,Production-T (Tonnes)," 2,000 "
2021/2022,Agrumes,Petit fruit_Nour,Superficie (Ha), 367 
2021/2022,Fourragères,Sorgho fourrager,Production-T (Tonnes)," 7,000 "
2021/2022,Céréales,Autres céréales,Production-T (Tonnes)," 4,920 "
2021/2022,Fourragères,Orge fourrager,Superficie (Ha), 550 
2021/2022,Agrumes,Orange_Salustiana,Production-T (Tonnes), 20 
2021/2022,Rosacées,Cognassier,Production-T (Tonnes), 39 
2021/2022,Rosacées,Poirier,Superficie (Ha), 3 
2021/2022,Maraîchage,Autres cultures maraichères,Production-T (Tonnes), 960 
2021/2022,Agrumes,Orange_Navel,Production-T (Tonnes)," 32,287 "
2021/2022,Maraîchage,Carotte,Superficie (Ha), 20 
2021/2022,Rosacées,Pommier,Superficie (Ha), 236 
2021/2022,Céréales,Blé tendre,Superficie (Ha), 150 
2021/2022,Maraîchage,Carotte,Superficie (Ha), 13 
2021/2022,Céréales,Mais,Production-T (Tonnes)," 5,475 "
2021/2022,Fourragères,Sorgho fourrager,Superficie (Ha), 254 
2021/2022,Oliviers,Olivier,Superficie (Ha)," 25,883 "
2021/2022,Fourragères,Mais fourrager,Superficie (Ha)," 11,161 "
2021/2022,Maraîchage,Tomate,Production-T (Tonnes), 600 
2021/2022,Maraîchage,Concombre,Superficie (Ha), 59 
2021/2022,Légumineuses,Petit pois,Superficie (Ha), 50 
2021/2022,Fourragères,Orge fourrager,Superficie (Ha)," 6,100 "
2021/2022,Céréales,Orge,Production-T (Tonnes), 550 
2021/2022,Rosacées,Figuier,Superficie (Ha), 260 
2021/2022,Industrielles,Coriandre récoltée,Production-T (Tonnes), 800 
2021/2022,Maraîchage,Melon,Production-T (Tonnes)," 2,000 "
2021/2022,Légumineuses,Fève,Superficie (Ha)," 1,470 "
2021/2022,Maraîchage,Piment poivron,Superficie (Ha), 23 
2021/2022,Agrumes,Orange_Navelina,Superficie (Ha), 15 
2021/2022,Céréales,Orge,Superficie (Ha), 368 
2021/2022,Maraîchage,Tomate,Superficie (Ha), 40 
2021/2022,Amandiers,Amandier,Production-T (Tonnes), 320 
2021/2022,Légumineuses,Fève,Superficie (Ha), 360 
2021/2022,Légumineuses,Lentille,Superficie (Ha), 500 
2021/2022,Industrielles,Câprier,Production-T (Tonnes)," 1,653 "
2021/2022,Maraîchage,Aubergine,Superficie (Ha), 45 
2021/2022,Agrumes,Orange_Navel lane late,Production-T (Tonnes)," 2,300 "
2021/2022,Céréales,Blé tendre,Superficie (Ha), 95 
2021/2022,Rosacées,Cognassier,Production-T (Tonnes), 765 
2021/2022,Oliviers,Olivier,Production-T (Tonnes), 2 
2021/2022,Maraîchage,Tomate,Production-T (Tonnes)," 5,200 "
2021/2022,Maraîchage,Courge courgette,Production-T (Tonnes)," 4,050 "
2021/2022,Légumineuses,Pois chiche,Superficie (Ha), 280 
2021/2022,Industrielles,Henné,Production-T (Tonnes), 384 
2021/2022,Céréales,Blé dur,Superficie (Ha)," 2,510 "
2021/2022,Fourragères,Féverole,Superficie (Ha)," 2,700 "
2021/2022,Maraîchage,Petit Pois vert,Production-T (Tonnes), 240 
2021/2022,Oliviers,Olivier,Production-T (Tonnes), 80 
2021/2022,Fourragères,Sorgho fourrager,Production-T (Tonnes), 240 
2021/2022,Rosacées,Caroubier,Superficie (Ha), 23 
2021/2022,Agrumes,Orange_Salustiana,Production-T (Tonnes), 103 
2021/2022,Légumineuses,Fève,Superficie (Ha)," 1,145 "
2021/2022,Agrumes,Orange_Navel,Superficie (Ha), 50 
2021/2022,Céréales,Blé dur,Production-T (Tonnes), 653 
2021/2022,Maraîchage,Pomme de terre,Superficie (Ha)," 1,840 "
2021/2022,Maraîchage,Courge courgette,Superficie (Ha), 209 
2021/2022,Maraîchage,Piment poivron,Superficie (Ha), 25 
2021/2022,Maraîchage,Menthe,Superficie (Ha), 10 
2021/2022,Amandiers,Amandier,Production-T (Tonnes)," 1,602 "
2021/2022,Agrumes,Petit fruit_Nour,Superficie (Ha), 682 
2021/2022,Agrumes,Orange_Navel,Production-T (Tonnes)," 65,996 "
2021/2022,Amandiers,Amandier,Superficie (Ha)," 7,922 "
2021/2022,Céréales,Blé tendre,Superficie (Ha)," 9,350 "
2021/2022,Oliviers,Olivier,Production-T (Tonnes)," 1,500 "
2021/2022,Maraîchage,Fève verte,Production-T (Tonnes), 450 
2021/2022,Fourragères,Féverole,Production-T (Tonnes), 735 
2021/2022,Maraîchage,Oignon,Production-T (Tonnes)," 6,450 "
2021/2022,Légumineuses,Fève,Superficie (Ha), 580 
2021/2022,Rosacées,Cerisier,Superficie (Ha), 5 
2021/2022,Rosacées,Prunier,Production-T (Tonnes)," 1,354 "
2021/2022,Industrielles,Cannabis,Production-T (Tonnes), 240 
2021/2022,Fourragères,Avoine vert,Production-T (Tonnes)," 10,800 "
2021/2022,Maraîchage,Concombre,Production-T (Tonnes), 75 
2021/2022,Rosacées,Grenadier,Production-T (Tonnes), 12 
2021/2022,Maraîchage,Betterave potager,Superficie (Ha), 20 
2021/2022,Vignes,Raisin de table,Superficie (Ha), 26 
2021/2022,Rosacées,Pêcher-nectarine,Production-T (Tonnes), 270 
2021/2022,Fourragères,Orge fourrager,Superficie (Ha), 150 
2021/2022,Fourragères,Vesce avoine,Production-T (Tonnes)," 1,500 "
2021/2022,Maraîchage,Oignon vert,Superficie (Ha), 800 
