,Occurrence,Filière,Produit,Indicateur, Valeur 
132,2010,Maraîchage,Fève verte,Production-T (Tonnes),106148.0
133,2010,Maraîchage,Fève verte,Superficie (Ha),7746.0
134,2010,Maraîchage,Fraisier,Production-T (Tonnes),110716.0
135,2010,Maraîchage,Fraisier,Superficie (Ha),2517.0
136,2010,Maraîchage,Framboise,Production-T (Tonnes),4133.0
137,2010,Maraîchage,Framboise,Superficie (Ha),310.0
138,2010,Maraîchage,Haricot vert,Production-T (Tonnes),120612.0
139,2010,Maraîchage,Haricot vert,Superficie (Ha),6028.0
140,2010,Maraîchage,Melon,Production-T (Tonnes),777605.0
141,2010,Maraîchage,Melon,Superficie (Ha),24770.0
142,2010,Maraîchage,Menthe,Production-T (Tonnes),55319.0
143,2010,Maraîchage,Menthe,Superficie (Ha),2125.0
144,2010,Maraîchage,Myrtille,Production-T (Tonnes),3009.0
145,2010,Maraîchage,Myrtille,Superficie (Ha),240.0
146,2010,Maraîchage,Navet,Production-T (Tonnes),162185.0
147,2010,Maraîchage,Navet,Superficie (Ha),7652.0
148,2010,Maraîchage,Niora,Production-T (Tonnes),31953.0
149,2010,Maraîchage,Niora,Superficie (Ha),1648.0
150,2010,Maraîchage,Oignon,Production-T (Tonnes),860913.0
151,2010,Maraîchage,Oignon,Superficie (Ha),30690.0
152,2010,Maraîchage,Oignon vert,Production-T (Tonnes),2864.0
153,2010,Maraîchage,Oignon vert,Superficie (Ha),179.0
154,2010,Maraîchage,Pastèque,Production-T (Tonnes),579982.0
155,2010,Maraîchage,Pastèque,Superficie (Ha),15407.0
156,2010,Maraîchage,Patate douce,Production-T (Tonnes),17582.0
157,2010,Maraîchage,Patate douce,Superficie (Ha),825.0
158,2010,Maraîchage,Petit Pois vert,Production-T (Tonnes),160136.0
159,2010,Maraîchage,Petit Pois vert,Superficie (Ha),20685.0
160,2010,Maraîchage,Piment poivron,Production-T (Tonnes),143128.0
161,2010,Maraîchage,Piment poivron,Superficie (Ha),4179.0
162,2010,Maraîchage,Pomme de terre,Production-T (Tonnes),1721402.0
163,2010,Maraîchage,Pomme de terre,Superficie (Ha),57846.0
164,2010,Maraîchage,Tomate,Production-T (Tonnes),1217905.0
165,2010,Maraîchage,Tomate,Superficie (Ha),17128.0
166,2010,Oléagineuses,Arachide,Production-T (Tonnes),39710.0
167,2010,Oléagineuses,Arachide,Superficie (Ha),17840.0
168,2010,Oléagineuses,Sésame,Production-T (Tonnes),1137.0
169,2010,Oléagineuses,Sésame,Superficie (Ha),1190.0
170,2010,Oléagineuses,Tournesol,Production-T (Tonnes),48131.0
171,2010,Oléagineuses,Tournesol,Superficie (Ha),36573.0
172,2010,Oliviers,Olivier,Production-T (Tonnes),1405224.0
173,2010,Oliviers,Olivier,Superficie (Ha),838876.0
174,2010,Palmiers-Dattiers,Palmier dattier,Production-T (Tonnes),102962.0
175,2010,Palmiers-Dattiers,Palmier dattier,Superficie (Ha),54476.0
176,2010,Rosacées,Abricotier,Production-T (Tonnes),159124.0
